date,smp,load,pv
2018-04-15 16:00,86.54,13.41,57.274
2018-04-15 17:00,87.16,14.413,35.772
2018-04-15 18:00,88.33,16.024,8.485
2018-04-15 19:00,88.37,18.191,0
2018-04-15 20:00,88.37,19.992,0
2018-04-15 21:00,88.37,20.03,0
2018-04-15 22:00,88.37,19.419,0
2018-04-15 23:00,88.37,17.634,0
2018-04-16 0:00,88.41,15.309,0
2018-04-16 1:00,85.5,14.079,0
2018-04-16 2:00,85.61,13.336,0
2018-04-16 3:00,85.76,13.024,0
2018-04-16 4:00,86.93,12.352,0
2018-04-16 5:00,88.01,12.907,0
2018-04-16 6:00,89.92,14.999,4.869
2018-04-16 7:00,89.82,16.025,33.916
2018-04-16 8:00,94.18,16.124,72.629
2018-04-16 9:00,94.18,13.015,107.943
2018-04-16 10:00,94.18,10.612,135.134
2018-04-16 11:00,93.23,10.564,152.345
2018-04-16 12:00,90.41,11.027,159.721
2018-04-16 13:00,92.96,10.167,154.925
2018-04-16 14:00,93.83,9.837,141.281
2018-04-16 15:00,92.94,9.713,116.597
2018-04-16 16:00,93.63,10.226,80.704
2018-04-16 17:00,93.83,11.955,42.449
2018-04-16 18:00,93.93,13.529,10.655
2018-04-16 19:00,93.93,16.942,0
2018-04-16 20:00,93.93,18.591,0
2018-04-16 21:00,92.98,19.163,0
2018-04-16 22:00,92.77,19.481,0
2018-04-16 23:00,91.96,17.452,0
2018-04-17 0:00,88.56,15.506,0
2018-04-17 1:00,88.59,14.582,0
2018-04-17 2:00,88.85,13.397,0
2018-04-17 3:00,89.11,13.156,0
2018-04-17 4:00,89.11,12.978,0
2018-04-17 5:00,89.11,13.501,0
2018-04-17 6:00,92.16,13.154,4.652
2018-04-17 7:00,93.57,14.435,28.854
2018-04-17 8:00,93.55,13.871,66.241
2018-04-17 9:00,93.52,11.912,102.881
2018-04-17 10:00,93.48,10.072,130.434
2018-04-17 11:00,93.37,10.611,146.632
2018-04-17 12:00,90.75,10.216,151.019
2018-04-17 13:00,93.32,9.925,149.742
2018-04-17 14:00,94.83,9.519,136.605
2018-04-17 15:00,94.83,9.221,111.656
2018-04-17 16:00,94.83,10.086,79.499
